group,dir,comparison,stretch,N1,N2,test,p_value,power,effect_size,p_adj,significant
CN,Long,IT_vs_Ext,1.8656,4,3,T-test (Student),0.1192,0.2518,-1.2076,0.2432,False
CN,Long,IT_vs_Ext,1.9137,4,3,T-test (Student),0.1182,0.2533,-1.2122,0.2432,False
CN,Long,IT_vs_Int,1,4,3,T-test (Student),0.9759,0.0501,0.0204,0.997,False
CN,Long,IT_vs_Int,1.03,4,3,T-test (Student),0.1061,0.2716,-1.2664,0.2432,False
CN,Long,IT_vs_Int,1.06,4,3,T-test (Student),0.0577,0.3882,-1.5784,0.216,False
CN,Long,IT_vs_Int,1.09,4,3,T-test (Student),0.0439,0.4465,-1.7232,0.203,False
CN,Long,IT_vs_Int,1.12,4,3,T-test (Student),0.0307,0.526,-1.9176,0.1728,False
CN,Long,IT_vs_Int,1.1501,4,3,T-test (Student),0.0241,0.5821,-2.0567,0.1494,False
CN,Long,IT_vs_Int,1.1801,4,3,T-test (Student),0.0204,0.6197,-2.1522,0.1376,False
CN,Long,IT_vs_Int,1.2101,4,3,T-test (Student),0.0176,0.6532,-2.2402,0.1287,False
CN,Long,IT_vs_Int,1.2401,4,3,T-test (Student),0.0119,0.7385,-2.4821,0.0968,False
CN,Long,IT_vs_Int,1.2701,4,3,T-test (Student),0.0053,0.8831,-3.0334,0.0723,False
CN,Long,IT_vs_Int,1.3001,4,3,T-test (Student),0.0026,0.9588,-3.5869,0.0587,False
CN,Long,IT_vs_Int,1.3301,4,3,T-test (Student),0.0024,0.9628,-3.6347,0.0587,False
CN,Long,IT_vs_Int,1.3601,4,3,T-test (Student),0.0029,0.9499,-3.4922,0.0587,False
CN,Long,IT_vs_Int,1.3902,4,3,T-test (Student),0.0032,0.9397,-3.3992,0.0587,False
CN,Long,IT_vs_Int,1.4202,4,3,T-test (Student),0.0037,0.9253,-3.2866,0.063,False
CN,Long,IT_vs_Int,1.4502,4,3,T-test (Student),0.0045,0.9028,-3.1414,0.0669,False
CN,Long,IT_vs_Int,1.4802,4,3,T-test (Student),0.0055,0.8763,-2.9992,0.0723,False
CN,Long,IT_vs_Int,1.5102,4,3,T-test (Student),0.0061,0.8606,-2.9252,0.0761,False
CN,Long,IT_vs_Int,1.5402,4,3,T-test (Student),0.0074,0.829,-2.7922,0.0796,False
CN,Long,IT_vs_Int,1.5702,4,3,T-test (Student),0.0082,0.8119,-2.727,0.0806,False
CN,Long,Ext_vs_Int,1,2,3,None [Low N],,,,,False
CN,Long,Ext_vs_Int,1.03,3,3,T-test (Student),0.0933,0.2725,-1.4328,0.2432,False
CN,Long,Ext_vs_Int,1.06,3,3,T-test (Student),0.0709,0.3241,-1.5968,0.2432,False
CN,Long,Ext_vs_Int,1.09,3,3,T-test (Student),0.0619,0.3514,-1.6793,0.2248,False
CN,Long,Ext_vs_Int,1.12,3,3,T-test (Student),0.0439,0.4266,-1.8979,0.203,False
CN,Long,Ext_vs_Int,1.1501,3,3,T-test (Student),0.0336,0.4897,-2.0762,0.1843,False
CN,Long,Ext_vs_Int,1.1801,3,3,T-test (Student),0.0303,0.5144,-2.146,0.1728,False
CN,Long,Ext_vs_Int,1.2101,3,3,T-test (Student),0.029,0.5256,-2.1777,0.1711,False
CN,Long,Ext_vs_Int,1.2401,3,3,T-test (Student),0.0237,0.5754,-2.3204,0.1494,False
CN,Long,Ext_vs_Int,1.2701,3,3,T-test (Student),0.0125,0.7334,-2.8168,0.0985,False
CN,Long,Ext_vs_Int,1.3001,3,3,T-test (Student),0.0082,0.8259,-3.1836,0.0806,False
CN,Long,Ext_vs_Int,1.3301,3,3,T-test (Student),0.0102,0.7799,-2.9894,0.088,False
CN,Long,Ext_vs_Int,1.3601,3,3,Mann-Whitney U,0.1,0.7156,-2.7553,0.2432,False
CN,Long,Ext_vs_Int,1.3902,3,3,T-test (Student),0.0156,0.6799,-2.6373,0.119,False
CN,Long,Ext_vs_Int,1.4202,3,3,Mann-Whitney U,0.1,0.634,-2.494,0.2432,False
CN,Long,Ext_vs_Int,1.4502,3,3,T-test (Student),0.0233,0.5807,-2.3357,0.1494,False
CN,Long,Ext_vs_Int,1.4802,3,3,Mann-Whitney U,0.1,0.5365,-2.2087,0.2432,False
CN,Long,Ext_vs_Int,1.5102,3,3,Mann-Whitney U,0.1,0.5065,-2.1236,0.2432,False
CN,Long,Ext_vs_Int,1.5402,3,3,T-test (Student),0.0371,0.4657,-2.0087,0.1904,False
CN,Long,Ext_vs_Int,1.5702,3,3,T-test (Student),0.0436,0.4279,-1.9017,0.203,False
